tweet,class
فينو الاهبل ابن الاهبل  ,0
علي المصرييييين وجمالهم ربنا يحميهم  MinaAtta  ,1
دول كتير اوي ودمهم خفيف العماره اللي انا كلها سوريين والاطفال عسل  ,1
انا بعد كده خلي اللي يوعني بحاجه همضي علي وصل امانه علشان اضمن انو مش يخون  ,0
انا هنتحر  ,0
في حفظ الله ريس  ,1
عيون عطشان عطشانه سهر قلوب تعبانه تعبانه سفر كتروا الحب تلاقوا تلاقوا في الضلمه قمر  ,1
 زهقنا_من اسامي اكونتات البنات علي مواقع التواصل الاجتماعي زي مثلا شروق الشمس الذهب الازرق بطيخ السلام  ,0
حمد الله السلامه  ,1
احا مين     ,0
لما تشوف حد واحشك كان بقالك كتير مشفتوش   ,1
دعاء نازله الجنينه حياتي   StaracArabia  DoaaElSebaii دعاء السباعي دعاء السباعي دعاء السباعي  ,1
لحد دلوقتي بيقول فاهم    مش عارفه ليه حاسه بيكذب  ,0
انا مشروخ مشروخ جمي  ,0
   مشيشتش بقالي اسبوع  انجاز  D      ,1
كفايه البصه اللي ببصها لحد انا مش طايق الحد ده     ,0
احساس ان في حد تاني خد مكانك وسط الناس اللي بتحبهم وهما سابوه يخدو عادي احساس وحش اوي  ,0
بس انا كنت بحب المدرس بتاعها فلذلك حبتها  ,1
مين غيرك في قلبي اكتبله مرسالي  ,1
السكينه لباسه والبر شعاره والتقوي ضميره والحكمه مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدي امامه  ,1
ربنا يشفيه ويقوم بالسلامه ويشفي كل مريض  ,1
   متياسش اللي فات  واستبشر باللي جاي    ربك كريم      ,1
       عاجل تردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب 10921 علي معدل ترميز 27500 مدار نايل سات مبروك يااحرار شير        ,2
 التايم لاين مفرح بطريقه تفرح         ,1
خخخخخخخ كسم تضيع الرميات  ,0
متخصصين بنضيع ضربات جزاء كره القدم ورميات حره السله مرار  ,0
اهل مكه ادري بشعابها  ,2
حاله الاكتءاب البءس     ,0
32 ثانيه    الفرق 55 لينا    ياااارب  ,1
   بلغك عن اخيك شيء تكرهه فالتمس له العذر جهدك  فان لم تجد له عذرا فقل لعل له عذرا لا اعلمه     ربنا يسامح         ,1
علي الصقفه كله يرقص علي الصقفه كله يرقص زماااااااااااااااااااااااااالك  ,1
احساس ان الدنيا تسود ادامك كره واحده وتلاقي هموم تقيله وقعت علييك فجاه احساس وحش اوووي  ,0
يملك الاخلاق والادب يسكن في القلوب الادب  ,1
بس بيشتم مينا  ,0
 الحياه ال خيالي حلوه اوووي        ,1
لا تياس حرمك الله ما تحب ولا تحزن انجبرت علي التعايش مع وضع قد يءلمك بل ابتسم لان الله بكل رحمه وعسي ان تكرهوا شيءا خير لكم  ,1
مفتقده اوي فكره ان يكون في حد قدي في البيت   ,0
النهايات السعيده داءما تاتي في المشمش  ,0
ياح وتك ياسيسي استقبال راءع لرءيس مصر الججيده القويه  ,1
صحيح ان الغربه صعبه بس الوحده جميله  D تخلص هموم الناس وتفضي لهومك تحلها     ,1
   مرتد انا عن حبك ان اهدرتي دمي المباح فان كان الايمان في قربك فالكفر فلاح        ,0
      صعبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطان     ,0
هاتيهم اخرج بيهم انا  ,2
انا مضايق قوي    بصوت فداء  ,0
الحريه ل ولتراس الحريه للمدرج الكوره للجمهور داخليه وسخه  ,0
ده قالي في حبيبتي خدي القمر ورحت معاه ومااداني الا السهر  ,0
ومين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونه وفراخ بانيه     ,2
وخيمت عيناك بليلي          وغادر نبضك عالمي            عيناك منسيتان  ,0
ربنا يحفظك كل شر يبارك فيكي  ,1
جيل الايباد بمناسبه الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها كوبايه ميه واعملي شاي علشان احبس ههههههههههههههههههههههه  ,2
انا لله انا راجعون طب ممكن لينك المكتب الحقوقي  ,0
دا الدين في عرف الحر هم مذله مر  ,0
